day_id,city_id,temperature_celsius,condition_text,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,sunrise,sunset,condition_flag
D0001,C001,27.0,Partly Cloudy,6.1,210,1006.0,0.0,54,75,28.0,10.0,6.0,11.9,2,06:04 AM,07:19 PM,1
D0002,C001,22.0,Partly Cloudy,6.1,170,1006.0,0.0,73,75,24.5,10.0,1.0,23.4,1,06:05 AM,07:18 PM,1
D0003,C001,20.0,Light Rain with Thunder,3.6,10,1011.0,4.5,100,75,20.0,10.0,1.0,12.6,1,06:05 AM,07:18 PM,0
D0004,C001,17.0,Clear and Sunny,6.1,150,1018.0,0.0,88,0,17.0,10.0,1.0,11.2,1,06:06 AM,07:16 PM,0
D0005,C001,18.0,Clear and Sunny,3.6,92,1019.0,0.0,94,0,18.0,10.0,1.0,9.0,1,06:07 AM,07:15 PM,1
D0006,C001,20.0,Clear and Sunny,3.6,96,1019.0,0.0,88,0,20.0,10.0,1.0,11.2,1,06:07 AM,07:13 PM,1
D0007,C001,21.0,Partly Cloudy,4.0,310,1015.0,0.0,100,50,21.0,10.0,1.0,15.1,2,06:08 AM,07:11 PM,0
D0008,C001,21.0,Partly Cloudy,20.2,330,1011.0,0.0,53,75,21.0,10.0,1.0,17.3,1,06:09 AM,07:10 PM,1
D0009,C001,23.0,Partly Cloudy,3.6,63,1013.0,0.0,47,75,24.8,10.0,1.0,20.5,1,06:10 AM,07:08 PM,1
D0010,C001,24.0,Partly Cloudy,15.1,330,1014.0,0.0,54,75,25.3,10.0,1.0,9.7,1,06:11 AM,07:06 PM,1
D0011,C001,23.0,Clear and Sunny,6.8,320,1014.0,0.0,57,0,24.8,10.0,1.0,18.7,1,06:12 AM,07:04 PM,1
D0012,C001,19.0,Clear and Sunny,3.6,79,1014.0,0.0,73,0,19.0,10.0,1.0,18.0,1,06:13 AM,07:03 PM,1
D0013,C001,18.0,Clear and Sunny,3.6,74,1015.0,0.0,83,0,18.0,10.0,1.0,14.4,1,06:14 AM,07:01 PM,1
D0014,C001,17.0,Clear and Sunny,3.6,75,1015.0,0.0,88,0,17.0,10.0,1.0,14.4,1,06:15 AM,06:59 PM,1
D0015,C001,17.0,Clear and Sunny,3.6,98,1014.0,0.0,94,0,17.0,10.0,1.0,9.7,1,06:16 AM,06:58 PM,1
D0016,C001,17.0,Clear and Sunny,6.1,140,1017.0,0.0,88,0,17.0,10.0,1.0,7.6,2,06:17 AM,06:56 PM,1
D0017,C001,29.0,Partly Cloudy,15.1,340,1016.0,0.0,45,50,27.9,10.0,7.0,8.3,2,06:19 AM,06:52 PM,1
D0018,C001,19.0,Clear and Sunny,3.6,86,1017.0,0.0,88,0,19.0,10.0,1.0,6.8,2,06:19 AM,06:52 PM,1
D0019,C001,19.0,Clear and Sunny,3.6,64,1017.0,0.0,88,0,19.0,10.0,1.0,8.3,3,06:20 AM,06:51 PM,0
D0020,C001,19.0,Cloudy and Overcast,3.6,10,1018.0,0.0,94,100,19.0,10.0,1.0,5.4,2,06:21 AM,06:49 PM,1
D0021,C001,18.0,Clear and Sunny,3.6,75,1017.0,0.0,94,0,18.0,10.0,1.0,8.3,1,06:22 AM,06:47 PM,1
D0022,C001,20.0,Clear and Sunny,3.6,104,1016.0,0.0,83,0,20.0,10.0,1.0,12.1,2,06:23 AM,06:45 PM,1
D0023,C001,20.0,Clear and Sunny,6.8,70,1016.0,0.0,94,0,20.0,10.0,1.0,10.6,2,06:24 AM,06:44 PM,1
D0024,C001,21.0,Partly Cloudy,6.8,200,1016.0,0.0,83,75,21.0,10.0,1.0,10.6,2,06:25 AM,06:42 PM,1
D0025,C001,20.0,Partly Cloudy,6.1,140,1014.0,0.32,94,50,20.0,8.0,1.0,18.9,2,06:26 AM,06:40 PM,1
D0026,C001,19.0,Clear and Sunny,4.0,150,1015.0,0.0,78,0,19.0,10.0,1.0,16.6,3,06:27 AM,06:39 PM,1
D0027,C002,28.0,Partly Cloudy,13.0,240,1014.0,0.0,30,25,27.4,10.0,7.0,5.4,1,06:16 AM,07:21 PM,1
D0028,C002,19.0,Partly Cloudy,3.6,83,1010.0,0.0,73,25,19.0,10.0,1.0,8.3,1,06:17 AM,07:20 PM,0
D0029,C002,23.0,Partly Cloudy,4.0,150,1014.0,0.0,78,25,25.0,10.0,1.0,17.6,1,06:17 AM,07:20 PM,1
D0030,C002,22.0,Partly Cloudy,6.8,200,1018.0,0.0,78,25,24.6,10.0,1.0,14.4,1,06:17 AM,07:18 PM,1
D0031,C002,24.0,Clear and Sunny,3.6,70,1013.0,0.0,83,0,25.7,10.0,1.0,12.6,1,06:18 AM,07:17 PM,1
D0032,C002,27.0,Partly Cloudy,16.9,90,1010.0,6.4,54,75,29.3,10.0,1.0,32.8,1,06:19 AM,07:15 PM,1
D0033,C002,36.0,Mist or Fog,13.0,170,1010.0,0.0,29,50,37.9,3.5,1.0,47.9,4,06:20 AM,07:14 PM,1
D0034,C002,26.0,Partly Cloudy,16.9,280,1014.0,0.0,79,50,28.8,8.0,1.0,25.9,1,06:21 AM,07:12 PM,1
D0035,C002,25.0,Partly Cloudy,6.1,70,1015.0,0.0,83,25,27.0,10.0,1.0,17.3,1,06:21 AM,07:11 PM,0
D0036,C002,24.0,Partly Cloudy,11.2,40,1017.0,0.0,78,25,25.6,10.0,1.0,16.6,1,06:22 AM,07:10 PM,1
D0037,C002,23.0,Partly Cloudy,9.0,60,1017.0,0.0,78,50,25.0,10.0,1.0,20.5,1,06:23 AM,07:08 PM,1
D0038,C002,21.0,Partly Cloudy,4.0,140,1017.0,0.0,78,25,21.0,10.0,1.0,22.7,1,06:24 AM,07:07 PM,1
D0039,C002,23.0,Clear and Sunny,6.1,240,1015.0,0.0,89,0,25.0,10.0,1.0,20.5,1,06:25 AM,07:05 PM,1
D0040,C002,24.0,Partly Cloudy,3.6,180,1014.0,0.0,78,25,25.7,10.0,1.0,3.6,1,06:25 AM,07:03 PM,1
D0041,C002,25.0,Partly Cloudy,6.8,340,1014.0,0.0,83,50,26.5,10.0,1.0,6.1,1,06:26 AM,07:02 PM,1
D0042,C002,25.0,Light Rain with Thunder,3.6,141,1016.0,0.0,83,50,26.3,8.0,1.0,14.4,1,06:27 AM,07:00 PM,0
D0043,C002,31.0,Partly Cloudy,20.2,70,1014.0,0.0,59,50,36.7,10.0,7.0,25.2,1,06:29 AM,06:57 PM,1
D0044,C002,27.0,Partly Cloudy,9.0,320,1016.0,0.0,70,75,28.9,10.0,1.0,18.7,2,06:29 AM,06:57 PM,1
D0045,C002,27.0,Light Precipitation,13.0,200,1011.0,0.0,54,75,27.3,7.0,1.0,20.9,1,06:29 AM,06:56 PM,1
D0046,C002,37.0,Partly Cloudy,31.0,180,1009.0,0.0,16,25,37.3,8.0,1.0,38.5,2,06:30 AM,06:54 PM,1
D0047,C002,27.0,Partly Cloudy,6.1,330,1017.0,0.0,66,75,28.8,10.0,1.0,9.0,1,06:31 AM,06:53 PM,1
D0048,C002,26.0,Partly Cloudy,9.0,30,1017.0,0.0,79,75,28.4,10.0,1.0,8.5,1,06:32 AM,06:51 PM,1
D0049,C002,22.0,Partly Cloudy,6.8,70,1019.0,0.0,94,75,24.5,10.0,1.0,21.8,1,06:33 AM,06:50 PM,1
D0050,C002,22.0,Partly Cloudy,3.6,10,1015.0,0.0,88,50,24.5,10.0,1.0,8.1,1,06:33 AM,06:48 PM,1
D0051,C002,21.0,Clear and Sunny,4.0,190,1012.0,0.0,78,0,21.0,10.0,1.0,10.8,1,06:34 AM,06:47 PM,1
D0052,C002,22.0,Partly Cloudy,6.8,240,1016.0,0.14,83,50,24.6,10.0,1.0,14.6,1,06:35 AM,06:45 PM,1
D0053,C003,25.0,Partly Cloudy,3.6,270,1016.0,0.0,69,75,26.9,10.0,6.0,5.8,4,06:11 AM,06:06 PM,1
D0054,C003,21.0,Partly Cloudy,11.2,140,1014.0,0.0,94,25,21.0,8.0,1.0,16.2,1,06:10 AM,06:05 PM,1
D0055,C003,22.0,Light Precipitation,6.8,270,1015.0,0.1,88,75,24.5,8.0,1.0,18.0,1,06:10 AM,06:05 PM,1
D0056,C003,21.0,Partly Cloudy,3.6,177,1015.0,0.0,94,25,21.0,10.0,1.0,14.8,1,06:09 AM,06:05 PM,1
D0057,C003,21.0,Partly Cloudy,3.6,197,1014.0,0.0,94,75,21.0,8.0,1.0,14.4,1,06:09 AM,06:05 PM,1
D0058,C003,22.0,Partly Cloudy,11.2,220,1013.0,0.0,88,75,24.5,10.0,1.0,15.8,1,06:08 AM,06:05 PM,1
D0059,C003,21.0,Partly Cloudy,6.8,210,1015.0,0.0,94,75,21.0,8.0,1.0,14.8,1,06:08 AM,06:05 PM,1
D0060,C003,21.0,Partly Cloudy,9.0,220,1015.0,0.0,94,75,21.0,8.0,1.0,21.2,1,06:07 AM,06:05 PM,1
D0061,C003,23.0,Partly Cloudy,9.0,230,1014.0,0.0,83,75,25.4,9.0,1.0,9.0,1,06:07 AM,06:05 PM,1
D0062,C003,22.0,Clear and Sunny,6.8,220,1015.0,0.0,83,0,24.5,10.0,1.0,18.0,1,06:06 AM,06:05 PM,1
D0063,C003,23.0,Partly Cloudy,15.1,210,1014.0,0.0,83,25,25.2,10.0,1.0,24.1,1,06:06 AM,06:05 PM,1
D0064,C003,22.0,Partly Cloudy,19.1,190,1014.0,0.0,88,50,24.5,9.0,1.0,16.2,1,06:05 AM,06:05 PM,1
D0065,C003,23.0,Partly Cloudy,6.8,200,1015.0,0.0,83,75,25.3,9.0,1.0,16.9,1,06:05 AM,06:04 PM,1
D0066,C003,23.0,Clear and Sunny,6.8,200,1016.0,0.0,73,0,25.2,10.0,1.0,21.6,1,06:04 AM,06:04 PM,1
